yearG3,sex,county,Ndeaths,YLL,pop,YLLper,cRate,rateSE,rateLCI,rateUCI,aRate,aLCI,aUCI,aSE,causeName
2001-2003,Female,Santa Clara,547,1217,2512500,48.4379,21.7712,0.930868,19.9467,23.5956,22.826,20.9502,24.83,0.977451,Respiratory infections
2001-2003,Female,Orange,1009,1484,4407390,33.6707,22.8934,0.720716,21.4808,24.306,22.191,20.8362,23.6154,0.702002,Respiratory infections
2001-2003,Female,Kern,289,1244,1016740,122.352,28.4241,1.67201,25.147,31.7012,33.6516,29.8797,37.771,1.98144,Respiratory infections
2001-2003,Female,CALIFORNIA,13390,31542,52677200,59.8779,25.419,0.219668,24.9884,25.8495,24.4255,24.0125,24.8441,0.211597,Respiratory infections
2001-2003,Female,Fresno,318,720,1244390,57.8596,25.5547,1.43303,22.746,28.3634,25.9669,23.1799,29.013,1.46213,Respiratory infections
2001-2003,Female,Contra Costa,361,1051,1506060,69.785,23.9699,1.26157,21.4973,26.4425,20.6919,18.6,22.9773,1.09562,Respiratory infections
2001-2003,Female,Marin,141,137,375978,36.4383,37.5022,3.15825,31.3121,43.6923,24.1721,20.2947,28.9445,2.06483,Respiratory infections
2001-2003,Female,Santa Barbara,166,151,608744,24.8052,27.2693,2.11651,23.121,31.4175,19.8506,16.9141,23.2315,1.55818,Respiratory infections
2001-2003,Female,Sacramento,556,1987,1982310,100.236,28.0481,1.1895,25.7167,30.3794,26.5995,24.428,28.9201,1.13138,Respiratory infections
2001-2003,Female,Ventura,244,1107,1173770,94.3118,20.7878,1.3308,18.1795,23.3961,19.7442,17.3333,22.4166,1.27002,Respiratory infections
2001-2003,Female,San Mateo,333,529,1075490,49.1869,30.9627,1.69674,27.6371,34.2882,24.9012,22.2866,27.7879,1.37085,Respiratory infections
2001-2003,Female,Sonoma,208,431,711626,60.5655,29.2288,2.02666,25.2567,33.201,20.4069,17.683,23.5123,1.43947,Respiratory infections
2001-2003,Female,Riverside,571,1368,2552500,53.5944,22.3702,0.936163,20.5353,24.205,22.3006,20.5018,24.2195,0.936943,Respiratory infections
2001-2003,Female,Butte,117,441,317525,138.887,36.8475,3.40655,30.1708,43.5242,24.4008,20.0469,29.6678,2.3308,Respiratory infections
2001-2003,Female,Tulare,123,377,572665,65.8326,21.4785,1.93665,17.6828,25.2743,23.4446,19.4776,28.0066,2.11793,Respiratory infections
2001-2003,Female,Alameda,482,1328,2242020,59.2322,21.4984,0.979227,19.5792,23.4177,20.5785,18.7728,22.5227,0.942333,Respiratory infections
2001-2003,Female,Shasta,103,309,259780,118.947,39.6489,3.90673,31.9919,47.306,27.695,22.5444,34.0067,2.76349,Respiratory infections
2001-2003,Female,San Joaquin,198,531,909152,58.4061,21.7785,1.54773,18.745,24.812,21.0229,18.1841,24.2051,1.50082,Respiratory infections
2001-2003,Female,San Diego,1037,2242,4341320,51.6433,23.8868,0.741768,22.4329,25.3406,22.0651,20.739,23.4581,0.686999,Respiratory infections
2001-2003,Female,Placer,110,168,424892,39.5395,25.8889,2.46841,21.0509,30.7269,20.3321,16.6973,24.642,1.94603,Respiratory infections
2001-2003,Female,CALIFORNIA,192,8323,52677200,15.8,0.364484,0.0263044,0.312928,0.41604,0.358822,0.309798,0.413696,0.02593,Maternal conditions
2001-2003,Female,Fresno,112,1380,1244390,110.898,9.00039,0.850457,7.33352,10.6673,9.67394,7.95674,11.6635,0.919029,Other Infectious Diseases
2001-2003,Female,Contra Costa,144,1366,1506060,90.7005,9.5614,0.796784,7.99974,11.1231,8.77182,7.39022,10.3564,0.735117,Other Infectious Diseases
2001-2003,Female,Orange,197,1280,4407390,29.0421,4.46977,0.318458,3.8456,5.09393,4.55744,3.94067,5.24711,0.3261,Other Infectious Diseases
2001-2003,Female,CALIFORNIA,3706,31463,52677200,59.7279,7.0353,0.115566,6.80879,7.26181,7.01692,6.79225,7.24735,0.115549,Other Infectious Diseases
2001-2003,Female,Los Angeles,591,5703,14764000,38.6277,4.00297,0.16466,3.68024,4.3257,4.235,3.89963,4.59238,0.174613,Other Infectious Diseases
2001-2003,Female,San Bernardino,188,2007,2717890,73.844,6.91713,0.504484,5.92836,7.9059,8.514,7.3355,9.83125,0.623644,Other Infectious Diseases
2001-2003,Female,Sacramento,175,1129,1982310,56.9537,8.82808,0.66734,7.52011,10.136,8.63232,7.39722,10.0213,0.654463,Other Infectious Diseases
2001-2003,Female,Santa Clara,182,1689,2512500,67.224,7.24379,0.536945,6.1914,8.29618,7.70934,6.62736,8.92241,0.572884,Other Infectious Diseases
2001-2003,Female,Ventura,101,812,1173770,69.179,8.60478,0.856208,6.92665,10.2829,8.56651,6.97042,10.4351,0.856445,Other Infectious Diseases
2001-2003,Female,San Diego,369,2832,4341320,65.2337,8.49973,0.442478,7.63249,9.36697,8.28548,7.45841,9.18232,0.433023,Other Infectious Diseases
2001-2003,Female,Riverside,163,1422,2552500,55.71,6.38589,0.500181,5.40555,7.36622,6.22595,5.3033,7.26886,0.489616,Other Infectious Diseases
2001-2003,Female,Alameda,185,1341,2242020,59.8121,8.25148,0.606661,7.06244,9.44051,8.28304,7.12569,9.58458,0.61268,Other Infectious Diseases
2001-2003,Female,CALIFORNIA,948,8014,52677200,15.2134,1.79964,0.0584496,1.68508,1.9142,1.8418,1.72617,1.96334,0.0599483,Mouth and oropharynx cancers
2001-2003,Female,Los Angeles,231,2349,14764000,15.9103,1.56461,0.102944,1.36285,1.76638,1.70353,1.49053,1.93912,0.112292,Mouth and oropharynx cancers
2001-2003,Female,Los Angeles,194,1108,14764000,7.50473,1.314,0.09434,1.1291,1.49891,1.44471,1.24826,1.66394,0.103891,Oesophagus cancer
2001-2003,Female,CALIFORNIA,845,4645,52677200,8.81785,1.60411,0.055183,1.49595,1.71227,1.64483,1.53554,1.76004,0.0567143,Oesophagus cancer
2001-2003,Female,Orange,157,1335,4407390,30.29,3.5622,0.284294,3.00499,4.11941,3.68783,3.13168,4.31771,0.295347,Stomach cancer
2001-2003,Female,San Diego,139,1091,4341320,25.1306,3.20179,0.271573,2.66952,3.73407,3.15454,2.64995,3.73025,0.26867,Stomach cancer
2001-2003,Female,CALIFORNIA,1958,16377,52677200,31.0893,3.71698,0.0840008,3.55234,3.88162,3.76931,3.60379,3.94068,0.08539,Stomach cancer
2001-2003,Female,Los Angeles,675,5778,14764000,39.1357,4.57192,0.175973,4.2270200000000004,4.91683,4.9414,4.57487,5.3302,0.190587,Stomach cancer
2001-2003,Female,Orange,589,3291,4407390,74.6701,13.3639,0.550651,12.2847,14.4432,13.6163,12.5339,14.7708,0.563632,Colon and rectum cancers
2001-2003,Female,Contra Costa,261,1551,1506060,102.984,17.33,1.0727,15.2276,19.4325,15.844,13.9679,17.9207,0.987222,Colon and rectum cancers
2001-2003,Female,Sonoma,146,727,711626,102.16,20.5164,1.69795,17.1885,23.8443,15.9327,13.4071,18.8636,1.34422,Colon and rectum cancers
2001-2003,Female,Sacramento,305,1518,1982310,76.5772,15.3861,0.881004,13.6593,17.1128,15.1459,13.489,16.9562,0.869756,Colon and rectum cancers
2001-2003,Female,San Diego,649,3671,4341320,84.5596,14.9494,0.586815,13.7993,16.0995,14.6134,13.5064,15.7898,0.575824,Colon and rectum cancers
2001-2003,Female,Fresno,164,890,1244390,71.5209,13.1791,1.02912,11.1621,15.1962,14.1457,12.0552,16.5061,1.10919,Colon and rectum cancers
2001-2003,Female,Los Angeles,2105,12894,14764000,87.3339,14.2576,0.310757,13.6486,14.8667,15.323,14.6741,15.994,0.334646,Colon and rectum cancers
2001-2003,Female,San Francisco,228,748,1154790,64.7735,19.7438,1.30756,17.181,22.3066,15.043,13.1274,17.2652,1.01056,Colon and rectum cancers
2001-2003,Female,San Joaquin,115,877,909152,96.4635,12.6491,1.17954,10.3373,14.961,12.947,10.678,15.5744,1.21353,Colon and rectum cancers
2001-2003,Female,Riverside,459,2294,2552500,89.8725,17.9823,0.839344,16.3373,19.6274,17.7126,16.1233,19.4213,0.829816,Colon and rectum cancers
2001-2003,Female,San Bernardino,388,2561,2717890,94.2275,14.2758,0.724743,12.8553,15.6963,18.0128,16.2609,19.9041,0.916584,Colon and rectum cancers
2001-2003,Female,CALIFORNIA,7961,45751,52677200,86.8516,15.1128,0.16938,14.7808,15.4448,15.1961,14.8632,15.5347,0.170753,Colon and rectum cancers
2001-2003,Female,Alameda,360,2092,2242020,93.3086,16.0569,0.846274,14.3983,17.7156,16.2913,14.6421,18.0843,0.863809,Colon and rectum cancers
2001-2003,Female,Kern,156,919,1016740,90.3867,15.3431,1.22843,12.9354,17.7508,18.1425,15.4058,21.2289,1.45339,Colon and rectum cancers
2001-2003,Female,Ventura,171,1062,1173770,90.478,14.5685,1.11408,12.3849,16.752,14.5768,12.4643,16.96,1.11999,Colon and rectum cancers
2001-2003,Female,San Mateo,189,744,1075490,69.1778,17.5734,1.27828,15.068,20.0788,14.9567,12.8891,17.3077,1.09412,Colon and rectum cancers
2001-2003,Female,Stanislaus,119,805,720264,111.765,16.5217,1.51454,13.5533,19.4902,17.3849,14.3928,20.8309,1.59881,Colon and rectum cancers
2001-2003,Female,Santa Clara,290,1869,2512500,74.3881,11.5423,0.677787,10.2139,12.8707,12.3554,10.9713,13.8702,0.727085,Colon and rectum cancers
2001-2003,Female,San Diego,159,976,4341320,22.4817,3.66248,0.290454,3.09321,4.23176,3.64994,3.10257,4.26875,0.290616,Liver cancer
2001-2003,Female,Orange,138,1051,4407390,23.8463,3.13111,0.266537,2.6087,3.65351,3.25763,2.73476,3.85465,0.278449,Liver cancer
2001-2003,Female,Riverside,103,468,2552500,18.3349,4.03525,0.397605,3.25596,4.81455,3.97096,3.23874,4.82497,0.392676,Liver cancer
2001-2003,Female,CALIFORNIA,2059,14953,52677200,28.3861,3.90871,0.0861401,3.73988,4.07754,4.0076599999999996,3.83601,4.18519,0.088524,Liver cancer
2001-2003,Female,Santa Clara,108,855,2512500,34.0299,4.29851,0.413625,3.48782,5.1092,4.67127,3.82974,5.64662,0.45073,Liver cancer
2001-2003,Female,Los Angeles,659,5120,14764000,34.6789,4.46355,0.173875,4.12276,4.80434,4.88779,4.52108,5.27694,0.190723,Liver cancer
2001-2003,Female,Riverside,196,1102,2552500,43.1733,7.67873,0.548481,6.60373,8.75374,7.56615,6.5407,8.71215,0.542211,Pancreas cancer
2001-2003,Female,Orange,345,1981,4407390,44.9472,7.82776,0.421433,7.00177,8.65376,8.12851,7.29018,9.03996,0.439307,Pancreas cancer
2001-2003,Female,Contra Costa,152,811,1506060,53.8493,10.0926,0.818617,8.48813,11.6971,9.4402,7.99025,11.0952,0.770619,Pancreas cancer
2001-2003,Female,Sacramento,208,1321,1982310,66.6394,10.4928,0.727545,9.06684,11.9188,10.4972,9.11586,12.0339,0.729563,Pancreas cancer
2001-2003,Female,San Bernardino,211,1291,2717890,47.5001,7.76338,0.534453,6.71587,8.81088,9.84167,8.55646,11.2674,0.678617,Pancreas cancer
2001-2003,Female,CALIFORNIA,4776,26102,52677200,49.5508,9.06654,0.131193,8.80941,9.32367,9.24018,8.97932,9.50689,0.134037,Pancreas cancer
2001-2003,Female,San Mateo,110,434,1075490,40.3537,10.2279,0.975193,8.31656,12.1392,9.14465,7.50698,11.0765,0.876875,Pancreas cancer
2001-2003,Female,San Francisco,146,631,1154790,54.6418,12.6429,1.04634,10.5922,14.6937,10.009,8.43237,11.9018,0.838919,Pancreas cancer
2001-2003,Female,Alameda,192,923,2242020,41.1682,8.56369,0.618031,7.35238,9.77501,8.76721,7.5644,10.1157,0.636293,Pancreas cancer
2001-2003,Female,Ventura,102,555,1173770,47.2837,8.68998,0.860436,7.00355,10.3764,8.83561,7.19838,10.7482,0.878257,Pancreas cancer
2001-2003,Female,Los Angeles,1306,7182,14764000,48.6453,8.84583,0.244775,8.36608,9.32558,9.63951,9.12277,10.1785,0.267242,Pancreas cancer
2001-2003,Female,San Diego,426,2271,4341320,52.3113,9.8127,0.475427,8.88088,10.7445,9.67596,8.77541,10.6466,0.470628,Pancreas cancer
2001-2003,Female,Santa Clara,207,1150,2512500,45.7712,8.23882,0.572637,7.11647,9.36116,8.87439,7.70414,10.1764,0.618142,Pancreas cancer
2001-2003,Female,Humboldt,132,950,194371,488.756,67.9114,5.91093,56.3262,79.4966,60.982,50.9661,72.6436,5.33967,"Trachea, bronchus and lung cancers"
2001-2003,Female,Contra Costa,678,4886,1506060,324.424,45.0183,1.72892,41.6297,48.4069,42.5231,39.365,45.883,1.64216,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Bernardino,921,6102,2717890,224.512,33.8866,1.1166,31.6981,36.0751,42.8338,40.1067,45.6996,1.41412,"Trachea, bronchus and lung cancers"
2001-2003,Female,Sacramento,860,6055,1982310,305.451,43.3837,1.47937,40.4842,46.2832,43.9696,41.0737,47.02,1.50247,"Trachea, bronchus and lung cancers"
2001-2003,Female,Sonoma,393,2208,711626,310.275,55.2256,2.78576,49.7656,60.6856,47.3067,42.6809,52.3479,2.42052,"Trachea, bronchus and lung cancers"
2001-2003,Female,Yolo,105,753,274773,274.044,38.2134,3.72924,30.9042,45.5225,46.141,37.7016,55.9749,4.52391,"Trachea, bronchus and lung cancers"
2001-2003,Female,Riverside,1055,6268,2552500,245.563,41.332,1.27251,38.8379,43.826,40.3941,37.9856,42.9205,1.24755,"Trachea, bronchus and lung cancers"
2001-2003,Female,Shasta,174,1207,259780,464.624,66.9798,5.07772,57.0276,76.9319,51.4292,44.0266,60.006100000000004,3.92352,"Trachea, bronchus and lung cancers"
2001-2003,Female,Los Angeles,4258,26436,14764000,179.057,28.8404,0.441975,27.9741,29.7066,31.6661,30.7204,32.6341,0.486124,"Trachea, bronchus and lung cancers"
2001-2003,Female,Santa Clara,721,4651,2512500,185.115,28.6966,1.06872,26.6019,30.7912,31.1814,28.9418,33.5519,1.16384,"Trachea, bronchus and lung cancers"
2001-2003,Female,CALIFORNIA,19137,118428,52677200,224.818,36.3288,0.262612,35.8141,36.8435,37.442,36.9122,37.9776,0.271245,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Joaquin,399,2535,909152,278.831,43.8871,2.1971,39.5808,48.1933,46.8874,42.3856,51.7495,2.35451,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Luis Obispo,203,1051,370411,283.739,54.804,3.84649,47.265,62.343,42.432,36.7465,48.9547,3.00494,"Trachea, bronchus and lung cancers"
2001-2003,Female,Marin,190,1098,375978,292.038,50.5349,3.66618,43.3493,57.7205,39.4195,33.9564,45.8151,2.89113,"Trachea, bronchus and lung cancers"
2001-2003,Female,Santa Barbara,254,1312,608744,215.526,41.7253,2.61808,36.5939,46.8566,37.2617,32.7739,42.2379,2.36298,"Trachea, bronchus and lung cancers"
2001-2003,Female,Orange,1469,8389,4407390,190.339,33.3304,0.86962,31.626,35.0348,35.1766,33.3943,37.0318,0.921051,"Trachea, bronchus and lung cancers"
2001-2003,Female,Stanislaus,304,2427,720264,336.96,42.2067,2.42072,37.4622,46.9513,45.5692,40.5803,51.0127,2.61891,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Francisco,474,2329,1154790,201.681,41.0463,1.88532,37.3511,44.7414,32.9082,29.976,36.145,1.53073,"Trachea, bronchus and lung cancers"
2001-2003,Female,El Dorado,118,670,247280,270.948,47.7192,4.39291,39.1092,56.3291,43.0858,35.6407,51.8985,3.979,"Trachea, bronchus and lung cancers"
2001-2003,Female,Butte,210,1221,317525,384.537,66.1365,4.56385,57.1915,75.0815,51.0164,44.2287,58.7464,3.58656,"Trachea, bronchus and lung cancers"
2001-2003,Female,Placer,199,1037,424892,244.062,46.8354,3.32008,40.3282,53.3427,39.6642,34.3329,45.6843,2.81809,"Trachea, bronchus and lung cancers"
2001-2003,Female,Fresno,353,2238,1244390,179.847,28.3673,1.50984,25.4081,31.3265,31.7021,28.4714,35.2064,1.69244,"Trachea, bronchus and lung cancers"
2001-2003,Female,Ventura,412,2429,1173770,206.941,35.1007,1.72929,31.7114,38.49,36.3066,32.8711,40.0148,1.79613,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Diego,1626,9496,4341320,218.736,37.4541,0.928836,35.6336,39.2746,37.5393,35.7299,39.4188,0.934456,"Trachea, bronchus and lung cancers"
2001-2003,Female,Monterey,198,858,593476,144.572,33.3628,2.37099,28.7157,38.0098,35.2008,30.4587,40.4894,2.50688,"Trachea, bronchus and lung cancers"
2001-2003,Female,Merced,102,656,334754,195.965,30.4701,3.01699,24.5569,36.3833,36.4262,29.6993,44.2312,3.60782,"Trachea, bronchus and lung cancers"
2001-2003,Female,Kern,417,3126,1016740,307.453,41.0134,2.00843,37.0769,44.9498,48.3618,43.8281,53.2409,2.36978,"Trachea, bronchus and lung cancers"
2001-2003,Female,Solano,249,1789,607309,294.578,41.0005,2.5983,35.908,46.0931,44.1853,38.8532,50.0597,2.8077,"Trachea, bronchus and lung cancers"
2001-2003,Female,Tulare,196,1517,572665,264.902,34.2259,2.44471,29.4344,39.0175,39.6125,34.2566,45.5793,2.83175,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Mateo,435,2471,1075490,229.756,40.4467,1.93927,36.6458,44.2476,36.3804,33.0241,40.0236,1.75362,"Trachea, bronchus and lung cancers"
2001-2003,Female,Napa,109,663,192184,344.982,56.7165,5.43245,46.0691,67.3639,43.5671,35.6406,52.9968,4.24776,"Trachea, bronchus and lung cancers"
2001-2003,Female,Santa Cruz,163,826,384382,214.89,42.4057,3.32147,35.8958,48.9157,44.3184,37.6759,51.8577,3.52662,"Trachea, bronchus and lung cancers"
2001-2003,Female,Alameda,814,4856,2242020,216.59,36.3065,1.27254,33.8124,38.8006,38.114,35.5265,40.8469,1.34319,"Trachea, bronchus and lung cancers"
2001-2003,Female,San Diego,111,1328,4341320,30.5898,2.55683,0.242683,2.08118,3.03248,2.56932,2.11231,3.09845,0.244617,Melanoma and other skin cancers
2001-2003,Female,CALIFORNIA,1069,11474,52677200,21.7817,2.02934,0.0620678,1.90769,2.15099,2.05494,1.93333,2.1824,0.0629847,Melanoma and other skin cancers
2001-2003,Female,Los Angeles,203,2306,14764000,15.619,1.37496,0.0965035,1.18582,1.56411,1.47428,1.27804,1.69296,0.103692,Melanoma and other skin cancers
2001-2003,Female,CALIFORNIA,12489,144823,52677200,274.925,23.7085,0.212149,23.2927,24.1243,24.2331,23.8092,24.6629,0.217243,Breast cancer
2001-2003,Female,Los Angeles,3217,39683,14764000,268.782,21.7894,0.384168,21.0365,22.5424,23.571,22.762,24.402,0.4163,Breast cancer
2001-2003,Female,Orange,995,11195,4407390,254.005,22.5757,0.715699,21.173,23.9785,23.3752,21.9405,24.8821,0.743457,Breast cancer
2001-2003,Female,Solano,143,1984,607309,326.687,23.5465,1.96906,19.6872,27.4058,24.2387,20.4179,28.5916,2.03302,Breast cancer
2001-2003,Female,Contra Costa,442,5062,1506060,336.11,29.3482,1.39595,26.6122,32.0842,27.3356,24.834,30.0382,1.3068,Breast cancer
2001-2003,Female,Orange,238,2548,4407390,57.812,5.40002,0.350031,4.71397,6.08607,5.62601,4.93151,6.39407,0.365978,Uterine cancer
2001-2003,Female,Riverside,164,2217,2552500,86.8559,6.42506,0.501713,5.44172,7.4084,6.55992,5.59176,7.65141,0.513678,Uterine cancer
2001-2003,Female,Sacramento,108,1267,1982310,63.9153,5.44818,0.524252,4.42067,6.4757,5.4285,4.4514,6.56215,0.523321,Uterine cancer
2001-2003,Female,Los Angeles,1057,13459,14764000,91.1608,7.15929,0.220208,6.72769,7.59089,7.74144,7.28078,8.22431,0.238609,Uterine cancer
2001-2003,Female,San Bernardino,162,2456,2717890,90.3642,5.96051,0.468302,5.04265,6.87836,7.0705,6.01858,8.25859,0.558303,Uterine cancer
2001-2003,Female,CALIFORNIA,3342,40447,52677200,76.7827,6.3443,0.109744,6.12921,6.55939,6.48179,6.26347,6.70596,0.112334,Uterine cancer
2001-2003,Female,Alameda,128,1343,2242020,59.9013,5.70913,0.504621,4.72009,6.69817,5.8777,4.8983,7.0042,0.522496,Uterine cancer
2001-2003,Female,San Diego,285,3527,4341320,81.2427,6.56483,0.388867,5.80267,7.327,6.55714,5.81553,7.36968,0.389692,Uterine cancer
2001-2003,Female,Santa Clara,118,1085,2512500,43.1841,4.69652,0.43235,3.84913,5.54391,5.00924,4.14412,6.00652,0.46235,Uterine cancer
2001-2003,Female,San Bernardino,177,1752,2717890,64.4618,6.5124,0.489502,5.553,7.47181,8.02638,6.88381,9.30776,0.605309,Ovary cancer
2001-2003,Female,Orange,379,3206,4407390,72.7415,8.5992,0.441711,7.73346,9.46493,9.05574,8.16387,10.0212,0.466772,Ovary cancer
2001-2003,Female,Riverside,231,1782,2552500,69.8138,9.04994,0.595442,7.88289,10.217,9.01756,7.88867,10.2675,0.595182,Ovary cancer
2001-2003,Female,Los Angeles,1229,11819,14764000,80.0527,8.32429,0.237449,7.8589,8.78968,9.06513,8.56446,9.58807,0.259043,Ovary cancer
2001-2003,Female,Contra Costa,154,1059,1506060,70.3162,10.2254,0.823985,8.61041,11.8404,9.96059,8.44129,11.6893,0.807231,Ovary cancer
2001-2003,Female,Sacramento,185,1375,1982310,69.3635,9.33254,0.686142,7.98772,10.6774,9.3089,8.01271,10.7605,0.686086,Ovary cancer
2001-2003,Female,Ventura,109,1032,1173770,87.9221,9.28635,0.889471,7.54302,11.0297,9.48697,7.78396,11.4656,0.911974,Ovary cancer
2001-2003,Female,CALIFORNIA,4630,41228,52677200,78.2653,8.78938,0.129172,8.53621,9.04255,9.0287,8.76998,9.29329,0.13295,Ovary cancer
2001-2003,Female,Santa Clara,195,1963,2512500,78.1294,7.7612,0.555791,6.67187,8.85053,8.34823,7.21489,9.6133400000000009,0.599297,Ovary cancer
2001-2003,Female,San Diego,422,3969,4341320,91.4239,9.72056,0.473189,8.79312,10.648,9.83285,8.91411,10.8227,0.480183,Ovary cancer
2001-2003,Female,Alameda,196,2182,2242020,97.3228,8.7421,0.624436,7.51823,9.96598,8.98599,7.76619,10.3516,0.645013,Ovary cancer
2001-2003,Female,Los Angeles,325,2647,14764000,17.9287,2.2013,0.122106,1.96197,2.44062,2.39265,2.13911,2.66868,0.132967,"Kidney, renal pelvis and ureter cancer"
2001-2003,Female,CALIFORNIA,1281,9278,52677200,17.6129,2.43179,0.0679441,2.29862,2.56496,2.47896,2.34476,2.61904,0.0694162,"Kidney, renal pelvis and ureter cancer"
2001-2003,Female,San Diego,115,897,4341320,20.6619,2.64897,0.247017,2.16482,3.13311,2.63224,2.17159,3.16456,0.246355,"Kidney, renal pelvis and ureter cancer"
2001-2003,Female,CALIFORNIA,1173,3683,52677200,6.99164,2.22677,0.0650169,2.09934,2.3542,2.21683,2.09142,2.34804,0.0649092,Bladder cancer
2001-2003,Female,Orange,104,270,4407390,6.12608,2.35967,0.231385,1.90617,2.81318,2.35571,1.92269,2.86164,0.232181,Bladder cancer
2001-2003,Female,Los Angeles,292,1046,14764000,7.08479,1.97778,0.115741,1.75093,2.20463,2.11485,1.87868,2.37332,0.124049,Bladder cancer
2001-2003,Female,Orange,224,3546,4407390,80.4558,5.08237,0.33958,4.41681,5.74794,5.25241,4.58496,5.99311,0.35208,Brain and nervous system cancers
2001-2003,Female,San Bernardino,126,2054,2717890,75.5733,4.63595,0.413003,3.82648,5.44542,5.49744,4.57253,6.55953,0.493662,Brain and nervous system cancers
2001-2003,Female,CALIFORNIA,2414,35003,52677200,66.4481,4.58263,0.0932708,4.39982,4.76543,4.66717,4.48247,4.85772,0.0951761,Brain and nervous system cancers
2001-2003,Female,Alameda,101,1405,2242020,62.6666,4.50486,0.44825,3.62631,5.38341,4.58673,3.7316,5.58869,0.458867,Brain and nervous system cancers
2001-2003,Female,San Diego,182,2302,4341320,53.0254,4.19228,0.310752,3.58321,4.80134,4.2003,3.61036,4.8617,0.31237,Brain and nervous system cancers
2001-2003,Female,Riverside,131,1408,2552500,55.1615,5.13222,0.448404,4.25336,6.01107,5.13598,4.29159,6.10277,0.450184,Brain and nervous system cancers
2001-2003,Female,Los Angeles,591,8380,14764000,56.7596,4.00297,0.16466,3.68024,4.3257,4.287,3.94742,4.64875,0.176805,Brain and nervous system cancers
2001-2003,Female,Santa Clara,103,2029,2512500,80.7563,4.09951,0.403936,3.30781,4.89121,4.26513,3.47873,5.1823,0.421729,Brain and nervous system cancers
2001-2003,Female,Sacramento,209,1536,1982310,77.4853,10.5432,0.729291,9.11386,11.9726,10.5136,9.13321,12.0492,0.729043,Lymphomas and multiple myeloma
2001-2003,Female,San Diego,398,2673,4341320,61.5712,9.16773,0.459537,8.26705,10.0684,9.0314,8.16265,9.97027,0.454392,Lymphomas and multiple myeloma
2001-2003,Female,Alameda,183,1281,2242020,57.1359,8.16227,0.603372,6.97968,9.34486,8.3635,7.1901,9.68259,0.621277,Lymphomas and multiple myeloma
2001-2003,Female,Orange,347,2188,4407390,49.6439,7.87314,0.42265200000000003,7.04476,8.70153,8.12961,7.2934,9.03872,0.438167,Lymphomas and multiple myeloma
2001-2003,Female,San Francisco,131,462,1154790,40.0071,11.344,0.991131,9.40143,13.2866,8.7757,7.31916,10.5478,0.776897,Lymphomas and multiple myeloma
2001-2003,Female,San Mateo,111,616,1075490,57.2763,10.3209,0.979615,8.40088,12.2409,9.14481,7.51344,11.0691,0.873325,Lymphomas and multiple myeloma
2001-2003,Female,Riverside,244,1525,2552500,59.7453,9.55924,0.611968,8.35981,10.7587,9.3768,8.23329,10.6402,0.602348,Lymphomas and multiple myeloma
2001-2003,Female,Contra Costa,184,1119,1506060,74.3001,12.2173,0.900675,10.4521,13.9826,11.4108,9.81188,13.2138,0.846511,Lymphomas and multiple myeloma
2001-2003,Female,CALIFORNIA,4707,31346,52677200,59.5058,8.93555,0.130241,8.68028,9.19082,9.05742,8.79989,9.32078,0.132332,Lymphomas and multiple myeloma
